Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
1, 3, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 4, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 5, eco7, 1, 0, 1, 0.19, 0, 267, 0, 282, 
1, 11, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 15, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 17, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 18, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 19, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 20, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 21, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 51, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 52, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 58, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 59, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 61, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 62, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 63, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 64, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 65, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 66, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 68, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 69, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 81, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 93, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 96, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 101, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 103, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 104, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 106, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 108, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 109, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 113, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 114, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 116, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 117, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 118, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 119, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 122, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 124, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 127, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 133, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 134, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 135, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 137, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 140, eco7, 1, 0.51, 1, 0.22, 0.11, 267, 0, 282, 
1, 141, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 142, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 143, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 201, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 202, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 211, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 212, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 242, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 263, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 264, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 312, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 313, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 321, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 322, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 351, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 352, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 353, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 361, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 362, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 375, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 404, eco7, 1, 0.67, 1, 0, 0, 267, 0, 282, 
1, 461, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 462, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 463, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 475, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 540, eco7, 1, 0.76, 1, 0, 0, 267, 0, 282, 
1, 542, eco7, 1, 0.76, 1, 0, 0, 267, 0, 282, 
1, 544, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 547, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 549, eco7, 1, 0.76, 1, 0, 0, 267, 0, 282, 
1, 602, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 603, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 604, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 605, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 606, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 631, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 730, eco7, 1, 0.66, 1, 0, 0, 267, 0, 282, 
1, 732, eco7, 1, 0.66, 1, 0, 0, 267, 0, 282, 
1, 742, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 745, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 746, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 747, eco7, 1, 0.24, 1, 0, 0, 267, 0, 282, 
1, 748, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 749, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 763, eco7, 1, 0.88, 1, 0, 0, 267, 0, 282, 
1, 766, eco7, 1, 0.88, 1, 0, 0, 267, 0, 282, 
1, 768, eco7, 1, 0.88, 1, 0, 0, 267, 0, 282, 
1, 801, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 803, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 805, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 807, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 810, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 811, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 814, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 815, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 818, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 821, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 823, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 826, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 827, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 829, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 834, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 835, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 838, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 839, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 843, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 846, eco7, 1, 0, 1, 0.08, 0, 267, 0, 282, 
1, 847, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 901, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 972, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 973, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 974, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 975, eco7, 1, 0, 1, 0, 0, 267, 0, 282, 
1, 981, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
1, 73, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 3, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 4, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 5, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 11, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 15, eco7, 1, 0, 1, 0.35, 0, 298, 0, 365, 
2, 17, eco7, 1, 0, 1, 0.32, 0, 298, 0, 365, 
2, 18, eco7, 1, 0, 1, 0.32, 0, 298, 0, 365, 
2, 19, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 20, eco7, 1, 0, 1, 0.32, 0, 298, 0, 365, 
2, 21, eco7, 1, 0, 1, 0.32, 0, 298, 0, 365, 
2, 51, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 52, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 58, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 59, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 61, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 62, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 63, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 64, eco7, 1, 0.91, 1, 0.42, 0.21, 298, 0, 365, 
2, 65, eco7, 1, 0.91, 1, 0.42, 0.21, 298, 0, 365, 
2, 66, eco7, 1, 0.91, 1, 0.42, 0.21, 298, 0, 365, 
2, 68, eco7, 1, 0.91, 1, 0.42, 0.21, 298, 0, 365, 
2, 69, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 81, eco7, 1, 0, 1, 0.4, 0, 298, 0, 365, 
2, 93, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 96, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 101, eco7, 1, 0, 1, 0.31, 0, 298, 0, 365, 
2, 103, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
2, 104, eco7, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
